ies;codigo_mec_ies;organizacao_academica;uf_ies;municipio_ies;vagas_autorizadas;vagas_ocupadas
Faculdade de Quixeramobim;17670;Faculdade ;CE;Quixeramobim;80;0
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO VALE DO SAO LOURENÇO;796;Faculdade ;MT;Jaciara;70;2
FACULDADE DE CIÊNCIAS SOCIAIS E AGRARIAS DE ITAPEVA;1281;Faculdade ;SP;Itapeva;50;10
FACULDADE SERRA DA MESA;3757;Faculdade ;GO;Uruaçu;40;2
FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ;1645;Faculdade ;BA;Jequié;60;6
CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE;810;Faculdade ;PR;Assis Chateaubriand;50;0
FACULDADE DE DESENVOLVIMENTO DAS CIÊNCIAS E HUMANIDADES;545;Faculdade ;MG;Itabira;140;1
FACULDADE DE INFORMATICA DE OURO PRETO DO OESTE;2779;Faculdade ;RO;Ouro Preto do Oeste;50;0
CENTRO UNIVERSITARIO DOS GUARARAPES;1805;Centro Universitário;PE;Jaboatão dos Guararapes;90;0
Faculdade Presidente Antônio Carlos de Governador Valadares;14162;Faculdade ;MG;Governador Valadares;100;0
CENTRO UNIVERSITARIO REDENTOR;2571;Centro Universitário;RJ;Itaperuna;60;1
CENTRO UNIVERSITARIO PRESIDENTE TANCREDO DE ALMEIDA NEVES;1599;Centro Universitário;MG;São João del Rei;100;6
CENTRO DE ENSINO SUPERIOR DO VALE SAO FRANCISCO;674;Faculdade ;PE;Belém de São Francisco;100;4
Faculdade Vértix Trirriense;18048;Faculdade ;RJ;Três Rios;120;5
FACULDADE SANTA CECÍLIA;652;Faculdade ;SP;Pindamonhangaba;40;0
FACULDADE VERDE NORTE;2910;Faculdade ;MG;Mato Verde;80;0
FACULDADE UNIFAMETRO MARACANAÚ;19337;Faculdade ;CE;Maracanaú;100;1
CENTRO UNIVERSITARIO FACVEST;3840;Centro Universitário;SC;Lages;60;0
FACULDADE SENAC BLUMENAU;3948;Faculdade ;SC;Blumenau;50;0
CENTRO UNIVERSITARIO SALESIANO DE SAO PAULO;1032;Centro Universitário;SP;Americana;45;0
FACULDADE DE PRESIDENTE VENCESLAU;3513;Faculdade ;SP;Presidente Venceslau;50;0
CENTRO UNIVERSITARIO DA FUNDAÇAO EDUCACIONAL GUAXUPÉ;3875;Centro Universitário;MG;Guaxupé;30;0
FACULDADE UNIAO DE GOYAZES;3987;Faculdade ;GO;Trindade;60;1
FACULDADE INTEGRADA DE SANTA MARIA;2647;Faculdade ;RS;Santa Maria;75;5
FACULDADE SENAC PALHOÇA;18201;Faculdade ;SC;Palhoça;100;0
FACULDADE REGES DE OSVALDO CRUZ;1122;Faculdade ;SP;Osvaldo Cruz;50;0
FACULDADE DE PALMAS;2148;Faculdade ;TO;Palmas;100;0
CENTRO UNIVERSITARIO DE FORMIGA;3983;Centro Universitário;MG;Formiga;50;0
Faculdade Pitágoras Unidade Paragominas;17666;Faculdade ;PA;Paragominas;25;0
CENTRO UNIVERSITARIO CATÓLICO SALESIANO AUXILIUM;4522;Centro Universitário;SP;Lins;60;0
FACULDADE DE INTEGRAÇAO DO SERTAO;3881;Faculdade ;PE;Serra Talhada;140;9
FACULDADE ANHANGUERA DE VALINHOS;3612;Faculdade ;SP;Valinhos;100;0
CENTRO UNIVERSITARIO DE CARATINGA;3966;Centro Universitário;MG;Caratinga;60;3
FACULDADE ANHANGUERA DE SANTA BARBARA;4138;Faculdade ;SP;Santa Bárbara d¿Oeste;210;0
FACULDADE PITAGORAS DE IPATINGA;2271;Faculdade ;MG;Ipatinga;150;0
FACULDADE EDUCACIONAL DE MEDIANEIRA;1574;Faculdade ;PR;Medianeira;100;0
CENTRO UNIVERSITARIO LEONARDO DA VINCI;1472;Centro Universitário;SC;Indaial;100;0
FACULDADES INTEGRADAS DE ARACRUZ;798;Faculdade ;ES;Aracruz;60;0
FACULDADE CALAFIORI;2124;Faculdade ;MG;São Sebastião do Paraíso;100;0
FACULDADE DE ADMINISTRAÇAO DE FATIMA DO SUL;915;Faculdade ;MS;Fátima do Sul;100;0
FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS;2428;Faculdade ;MG;Campos Gerais;60;3
FACULDADE PITAGORAS DE TEIXEIRA DE FREITAS;2437;Faculdade ;BA;Teixeira de Freitas;100;3
CENTRO UNIVERSITARIO DE VOTUPORANGA;222;Centro Universitário;SP;Votuporanga;150;1
FACULDADE CASTELO BRANCO;1840;Faculdade ;ES;Colatina;112;0
FACULDADE DE SORRISO;1945;Faculdade ;MT;Sorriso;47;1
FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA;1375;Faculdade ;MT;Araputanga;80;0
ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE;4858;Faculdade ;PE;Arcoverde;50;6
CENTRO UNIVERSITARIO ALFREDO NASSER;1573;Centro Universitário;GO;Aparecida de Goiânia;200;1
INSTITUIÇAO DE ENSINO SUPERIOR DE CACOAL;13792;Faculdade ;RO;Cacoal;100;0
Centro Universitário UNIFAAT;5312;Centro Universitário;SP;Atibaia;240;0
Faculdade Cesmac do Sertão;17224;Faculdade ;AL;Palmeira dos Índios;120;7
INSTITUTO DE ENSINO SUPERIOR MÚLTIPLO;3375;Faculdade ;MA;Timon;100;0
Faculdade CNEC Itajaí;1506;Faculdade ;SC;Itajaí;100;0
